day,date,tasks
Done Monday,2019-09-09,5
Done Monday,2019-09-16,10
Done Monday,2019-09-23,17
Done Monday,2019-10-14,9
Done Monday,2019-10-21,18
Done Monday,2019-10-28,13
Done Monday,2019-11-11,5
Done Monday,2019-11-18,30
Done Monday,2019-11-25,13
Done Monday,2019-12-02,13
Done Monday,2019-12-09,7
Done Monday,2019-12-02,12
Done Monday,2020-01-06,15
Done Monday,2020-01-20,17
Done Monday,2020-01-27,10
Done Monday,2020-02-17,5
Done Monday,2020-02-24,13
Done Monday,2020-03-02,17
Done Monday,2020-03-09,11
Done Monday,2020-03-16,15
Done Monday,2020-03-23,19
Done Monday,2020-03-30,17
Done Monday,2020-04-06,17
Done Monday,2020-04-20,11
Done Monday,2020-04-27,18
Done Monday,2020-05-04,10
Done Monday,2020-05-11,16
Done Monday,2020-05-18,12
Done Monday,2020-06-01,20
Done Monday,2020-06-08,11
Done Monday,2020-06-15,14
Done Monday,2020-06-22,20
Done Monday,2020-06-29,13
Done Monday,2020-07-06,7
Done Monday,2020-07-13,9
Done Monday,2020-07-20,17
Done Monday,2020-07-27,7
Done Monday,2020-08-03,17
Done Monday,2020-08-10,9
Done Monday,2020-08-17,9
Done Monday,2020-08-24,7
Done Monday,2020-09-07,12
Done Monday,2020-09-14,15
Done Monday,2020-09-21,21
Done Monday,2020-10-12,13
Done Monday,2020-10-19,13
Done Monday,2020-10-26,8
Done Monday,2020-11-02,17
Done Monday,2020-11-09,12
Done Monday,2020-11-16,10
Done Monday,2020-11-23,16
Done Monday,2020-11-30,23
Done Monday,2020-12-07,7
Done Monday,2020-12-14,9
Done Monday,2020-12-21,7
day,date,tasks
Done Tuesday,2019-09-10,6
Done Tuesday,2019-09-17,7
Done Tuesday,2019-10-15,12
Done Tuesday,2019-10-22,14
Done Tuesday,2019-10-29,15
Done Tuesday,2019-11-05,5
Done Tuesday,2019-11-12,9
Done Tuesday,2019-11-19,6
Done Tuesday,2019-11-26,8
Done Tuesday,2019-12-03,14
Done Tuesday,2019-12-31,10
Done Tuesday,2020-01-07,13
Done Tuesday,2020-01-14,10
Done Tuesday,2020-01-21,16
Done Tuesday,2020-01-28,7
Done Tuesday,2020-02-19,20
Done Tuesday,2020-02-25,10
Done Tuesday,2020-03-03,12
Done Tuesday,2020-03-10,16
Done Tuesday,2020-03-17,9
Done Tuesday,2020-03-24,0
Done Tuesday,2020-04-01,14
Done Tuesday,2020-04-07,15
Done Tuesday,2020-04-14,11
Done Tuesday,2020-04-21,19
Done Tuesday,2020-04-28,16
Done Tuesday,2020-05-12,0
Done Tuesday,2020-05-20,20
Done Tuesday,2020-05-26,19
Done Tuesday,2020-06-03,8
Done Tuesday,2020-06-09,8
Done Tuesday,2020-06-16,16
Done Tuesday,2020-06-23,0
Done Tuesday,2020-06-24,16
Done Tuesday,2020-06-30,2
Done Tuesday,2020-07-07,10
Done Tuesday,2020-07-14,6
Done Tuesday,2020-07-21,7
Done Tuesday,2020-07-27,9
Done Tuesday,2020-08-04,5
Done Tuesday,2020-08-18,12
Done Tuesday,2020-08-25,9
Done Tuesday,2020-09-02,12
Done Tuesday,2020-09-08,11
Done Tuesday,2020-09-15,10
Done Tuesday,2020-09-22,13
Done Tuesday,2020-10-13,10
Done Tuesday,2020-10-20,15
Done Tuesday,2020-10-27,13
Done Tuesday,2020-11-03,8
Done Tuesday,2020-11-10,13
Done Tuesday,2020-11-17,15
Done Tuesday,2020-11-24,16
Done Tuesday,2020-12-01,4
Done Tuesday,2020-12-08,4
Done Tuesday,2020-12-15,11
Done Tuesday,2020-12-22,5
day,date,tasks
Done Wednesday,2019-09-11,7
Done Wednesday,2019-09-18,6
Done Wednesday,2019-09-25,12
Done Wednesday,2019-10-16,11
Done Wednesday,2019-10-23,10
Done Wednesday,2019-10-30,11
Done Wednesday,2019-11-06,18
Done Wednesday,2019-11-13,14
Done Wednesday,2019-11-20,13
Done Wednesday,2019-11-27,4
Done Wednesday,2019-12-04,13
Done Wednesday,2020-01-08,7
Done Wednesday,2020-01-15,11
Done Wednesday,2020-01-29,5
Done Wednesday,2020-02-19,9
Done Wednesday,2020-02-26,9
Done Wednesday,2020-03-04,10
Done Wednesday,2020-03-11,4
Done Wednesday,2020-03-18,15
Done Wednesday,2020-03-25,10
Done Wednesday,2020-04-01,5
Done Wednesday,2020-04-08,15
Done Wednesday,2020-04-15,6
Done Wednesday,2020-04-22,15
Done Wednesday,2020-04-29,3
Done Wednesday,2020-05-06,7
Done Wednesday,2020-05-13,11
Done Wednesday,2020-05-20,10
Done Wednesday,2020-05-27,13
Done Wednesday,2020-06-03,11
Done Wednesday,2020-06-10,3
Done Wednesday,2020-06-17,29
Done Wednesday,2020-07-02,6
Done Wednesday,2020-07-15,7
Done Wednesday,2020-07-22,21
Done Wednesday,2020-07-29,11
Done Wednesday,2020-08-05,17
Done Wednesday,2020-08-12,12
Done Wednesday,2020-08-19,9
Done Wednesday,2020-08-26,12
Done Wednesday,2020-09-02,16
Done Wednesday,2020-09-09,5
Done Wednesday,2020-09-16,11
Done Wednesday,2020-09-23,17
Done Wednesday,2020-10-07,12
Done Wednesday,2020-10-14,11
Done Wednesday,2020-10-21,11
Done Wednesday,2020-10-28,8
Done Wednesday,2020-11-04,13
Done Wednesday,2020-11-11,8
Done Wednesday,2020-11-18,12
Done Wednesday,2020-11-25,9
Done Wednesday,2020-12-02,13
Done Wednesday,2020-12-09,13
Done Wednesday,2020-12-16,12
day,date,tasks
Done Thursday,2019-09-05,16
Done Thursday,2019-09-12,20
Done Thursday,2019-09-19,17
Done Thursday,2019-09-26,15
Done Thursday,2019-10-17,7
Done Thursday,2019-10-24,11
Done Thursday,2019-10-31,6
Done Thursday,2019-11-07,11
Done Thursday,2019-11-14,4
Done Thursday,2019-11-21,5
Done Thursday,2019-12-05,5
Done Thursday,2019-12-20,10
Done Thursday,2020-01-01,14
Done Thursday,2020-01-09,11
Done Thursday,2020-01-16,15
Done Thursday,2020-01-23,9
Done Thursday,2020-01-30,15
Done Thursday,2020-02-20,12
Done Thursday,2020-02-27,8
Done Thursday,2020-03-05,7
Done Thursday,2020-03-12,16
Done Thursday,2020-03-19,9
Done Thursday,2020-03-26,5
Done Thursday,2020-04-02,10
Done Thursday,2020-04-09,15
Done Thursday,2020-04-16,4
Done Thursday,2020-04-23,11
Done Thursday,2020-04-30,12
Done Thursday,2020-05-07,11
Done Thursday,2020-05-14,4
Done Thursday,2020-05-21,4
Done Thursday,2020-05-28,4
Done Thursday,2020-06-04,6
Done Thursday,2020-06-11,8
Done Thursday,2020-06-18,8
Done Thursday,2020-06-25,8
Done Thursday,2020-07-02,3
Done Thursday,2020-07-09,13
Done Thursday,2020-07-23,12
Done Thursday,2020-07-30,9
Done Thursday,2020-08-06,9
Done Thursday,2020-08-13,8
Done Thursday,2020-08-27,14
Done Thursday,2020-09-03,11
Done Thursday,2020-09-10,10
Done Thursday,2020-09-17,13
Done Thursday,2020-10-08,16
Done Thursday,2020-10-15,15
Done Thursday,2020-10-22,9
Done Thursday,2020-10-29,9
Done Thursday,2020-11-05,9
Done Thursday,2020-11-12,6
Done Thursday,2020-11-19,0
Done Thursday,2020-11-26,6
Done Thursday,2020-12-03,13
Done Thursday,2020-12-10,8
Done Thursday,2020-12-17,10
Done Thursday,2020-12-24,10
day,date,tasks
Done Friday,2019-09-06,7
Done Friday,2019-09-13,7
Done Friday,2019-09-20,9
Done Friday,2019-09-29,7
Done Friday,2019-10-18,9
Done Friday,2019-10-25,12
Done Friday,2019-11-01,4
Done Friday,2019-11-08,14
Done Friday,2019-11-15,7
Done Friday,2019-11-29,11
Done Friday,2019-12-06,2
Done Friday,2019-12-13,10
Done Friday,2020-01-02,6
Done Friday,2020-01-09,11
Done Friday,2020-01-24,4
Done Friday,2020-02-20,5
Done Friday,2020-02-28,4
Done Friday,2020-03-06,4
Done Friday,2020-03-13,9
Done Friday,2020-03-20,9
Done Friday,2020-03-27,9
Done Friday,2020-04-03,12
Done Friday,2020-04-17,12
Done Friday,2020-04-24,15
Done Friday,2020-05-01,9
Done Friday,2020-05-15,7
Done Friday,2020-05-22,13
Done Friday,2020-05-28,8
Done Friday,2020-06-05,10
Done Friday,2020-06-12,8
Done Friday,2020-06-26,9
Done Friday,2020-07-03,11
Done Friday,2020-07-17,10
Done Friday,2020-07-24,12
Done Friday,2020-07-31,7
Done Friday,2020-08-07,9
Done Friday,2020-08-14,4
Done Friday,2020-08-21,14
Done Friday,2020-08-28,3
Done Friday,2020-09-04,8
Done Friday,2020-09-11,5
Done Friday,2020-09-18,10
Done Friday,2020-09-25,10
Done Friday,2020-10-09,11
Done Friday,2020-10-16,5
Done Friday,2020-10-23,5
Done Friday,2020-10-30,14
Done Friday,2020-11-06,13
Done Friday,2020-11-13,5
Done Friday,2020-11-20,14
Done Friday,2020-11-27,9
Done Friday,2020-12-04,6
Done Friday,2020-12-11,5
Done Friday,2020-12-18,8
